Id,y
2000,1
2001,0
2002,1
2003,1
2004,2
2005,1
2006,2
2007,1
2008,1
2009,1
2010,2
2011,0
2012,1
2013,1
2014,1
2015,2
2016,1
2017,1
2018,1
2019,1
2020,2
2021,1
2022,0
2023,1
2024,0
2025,1
2026,1
2027,0
2028,1
2029,2
2030,1
2031,1
2032,1
2033,0
2034,2
2035,1
2036,1
2037,1
2038,2
2039,1
2040,1
2041,1
2042,1
2043,2
2044,1
2045,2
2046,2
2047,1
2048,2
2049,1
2050,2
2051,1
2052,1
2053,0
2054,0
2055,1
2056,1
2057,1
2058,1
2059,1
2060,1
2061,1
2062,1
2063,1
2064,1
2065,1
2066,0
2067,1
2068,1
2069,2
2070,2
2071,1
2072,2
2073,2
2074,1
2075,2
2076,1
2077,0
2078,2
2079,2
2080,1
2081,1
2082,1
2083,1
2084,1
2085,1
2086,2
2087,1
2088,2
2089,2
2090,0
2091,2
2092,1
2093,1
2094,1
2095,1
2096,1
2097,2
2098,1
2099,2
2100,2
2101,2
2102,1
2103,1
2104,1
2105,1
2106,1
2107,1
2108,2
2109,1
2110,2
2111,1
2112,1
2113,1
2114,1
2115,1
2116,0
2117,1
2118,1
2119,1
2120,1
2121,1
2122,0
2123,2
2124,1
2125,2
2126,1
2127,1
2128,2
2129,2
2130,1
2131,1
2132,0
2133,2
2134,1
2135,1
2136,1
2137,2
2138,1
2139,1
2140,2
2141,1
2142,1
2143,1
2144,1
2145,0
2146,2
2147,1
2148,2
2149,1
2150,0
2151,0
2152,1
2153,1
2154,1
2155,0
2156,1
2157,2
2158,1
2159,1
2160,1
2161,1
2162,1
2163,1
2164,1
2165,1
2166,1
2167,1
2168,1
2169,2
2170,1
2171,2
2172,1
2173,0
2174,1
2175,1
2176,1
2177,2
2178,1
2179,1
2180,0
2181,1
2182,2
2183,2
2184,2
2185,2
2186,1
2187,2
2188,1
2189,2
2190,2
2191,1
2192,2
2193,2
2194,1
2195,1
2196,2
2197,2
2198,1
2199,2
2200,2
2201,1
2202,1
2203,2
2204,0
2205,1
2206,0
2207,1
2208,1
2209,2
2210,1
2211,1
2212,2
2213,1
2214,0
2215,0
2216,2
2217,2
2218,1
2219,1
2220,1
2221,1
2222,0
2223,2
2224,0
2225,1
2226,1
2227,1
2228,1
2229,1
2230,1
2231,1
2232,0
2233,2
2234,1
2235,2
2236,1
2237,2
2238,1
2239,1
2240,1
2241,1
2242,1
2243,1
2244,2
2245,2
2246,2
2247,1
2248,0
2249,2
2250,2
2251,2
2252,1
2253,2
2254,1
2255,1
2256,1
2257,1
2258,2
2259,2
2260,2
2261,2
2262,1
2263,1
2264,2
2265,1
2266,1
2267,2
2268,1
2269,1
2270,1
2271,0
2272,0
2273,0
2274,1
2275,2
2276,1
2277,2
2278,1
2279,1
2280,0
2281,2
2282,1
2283,2
2284,2
2285,2
2286,1
2287,1
2288,1
2289,1
2290,1
2291,0
2292,1
2293,1
2294,2
2295,2
2296,1
2297,1
2298,1
2299,1
2300,2
2301,2
2302,0
2303,2
2304,1
2305,2
2306,1
2307,1
2308,1
2309,2
2310,1
2311,0
2312,1
2313,2
2314,1
2315,1
2316,1
2317,2
2318,1
2319,1
2320,2
2321,1
2322,1
2323,1
2324,1
2325,2
2326,1
2327,2
2328,0
2329,2
2330,2
2331,2
2332,1
2333,2
2334,1
2335,1
2336,0
2337,1
2338,1
2339,1
2340,1
2341,1
2342,1
2343,0
2344,2
2345,1
2346,2
2347,2
2348,2
2349,1
2350,1
2351,1
2352,1
2353,0
2354,1
2355,1
2356,1
2357,1
2358,1
2359,2
2360,2
2361,1
2362,0
2363,1
2364,2
2365,1
2366,0
2367,0
2368,1
2369,0
2370,1
2371,2
2372,2
2373,1
2374,1
2375,1
2376,2
2377,2
2378,1
2379,1
2380,2
2381,2
2382,2
2383,1
2384,1
2385,1
2386,1
2387,1
2388,1
2389,1
2390,1
2391,2
2392,1
2393,1
2394,2
2395,1
2396,2
2397,2
2398,0
2399,1
2400,0
2401,0
2402,1
2403,0
2404,1
2405,1
2406,1
2407,2
2408,1
2409,1
2410,1
2411,1
2412,1
2413,1
2414,1
2415,1
2416,1
2417,1
2418,2
2419,0
2420,1
2421,1
2422,0
2423,1
2424,1
2425,1
2426,1
2427,1
2428,1
2429,2
2430,1
2431,0
2432,1
2433,2
2434,1
2435,2
2436,2
2437,1
2438,1
2439,1
2440,1
2441,1
2442,1
2443,2
2444,1
2445,1
2446,1
2447,2
2448,1
2449,1
2450,2
2451,0
2452,1
2453,1
2454,1
2455,1
2456,1
2457,1
2458,2
2459,1
2460,0
2461,1
2462,0
2463,0
2464,1
2465,1
2466,2
2467,2
2468,1
2469,1
2470,2
2471,1
2472,1
2473,1
2474,2
2475,2
2476,0
2477,1
2478,1
2479,1
2480,1
2481,0
2482,1
2483,2
2484,0
2485,1
2486,1
2487,1
2488,0
2489,2
2490,2
2491,0
2492,1
2493,1
2494,1
2495,1
2496,1
2497,2
2498,1
2499,2
2500,1
2501,1
2502,2
2503,0
2504,1
2505,1
2506,2
2507,1
2508,1
2509,1
2510,1
2511,1
2512,1
2513,1
2514,1
2515,2
2516,2
2517,1
2518,2
2519,1
2520,1
2521,1
2522,1
2523,1
2524,0
2525,1
2526,1
2527,1
2528,2
2529,1
2530,2
2531,2
2532,1
2533,1
2534,2
2535,1
2536,1
2537,1
2538,2
2539,2
2540,2
2541,1
2542,1
2543,1
2544,2
2545,2
2546,1
2547,2
2548,2
2549,1
2550,1
2551,1
2552,2
2553,1
2554,2
2555,1
2556,1
2557,1
2558,1
2559,2
2560,1
2561,1
2562,2
2563,1
2564,1
2565,1
2566,2
2567,1
2568,2
2569,0
2570,1
2571,2
2572,2
2573,2
2574,1
2575,0
2576,1
2577,2
2578,2
2579,1
2580,1
2581,1
2582,2
2583,1
2584,1
2585,1
2586,2
2587,2
2588,0
2589,2
2590,1
2591,1
2592,0
2593,2
2594,2
2595,1
2596,1
2597,2
2598,1
2599,1
2600,2
2601,0
2602,0
2603,1
2604,0
2605,1
2606,1
2607,1
2608,1
2609,2
2610,1
2611,2
2612,2
2613,1
2614,0
2615,1
2616,2
2617,1
2618,1
2619,2
2620,1
2621,2
2622,1
2623,2
2624,1
2625,2
2626,1
2627,2
2628,1
2629,1
2630,1
2631,1
2632,2
2633,1
2634,0
2635,0
2636,1
2637,1
2638,2
2639,1
2640,1
2641,1
2642,1
2643,2
2644,1
2645,1
2646,1
2647,1
2648,1
2649,2
2650,1
2651,1
2652,2
2653,1
2654,1
2655,2
2656,1
2657,1
2658,1
2659,2
2660,1
2661,1
2662,2
2663,1
2664,2
2665,1
2666,1
